Unique ID,Batch ID,Recipe Name,Batch Start Time,Batch End Time,Duration,Dosing Accuracy,Production Line,ASA-D to Melt Tank (kg),NaOH to Melt Tank (kg),EDTA to Hold Tank (kg),EHDP to Hold Tank (kg),Betaine (kg),AOS (kg),Soap to Mixer (kg),Brine (kg),Mixture TO Mixer (kg),FC AITD (kg),FC Water (kg),DPG Dosage (kg),"Melt Temp, (max) (ｰC)",NaOH %CV (average),Average Naoh flow rate (kg/min),Batch time [min],Rework Used (kg),Average Mixture flow rate,F/C temperature,F/C temperature (Max) (ｰC),Mixture Pump speed (average) (%),Mixture Source,Total Preps Charge Time,F/C Time,Dry Time (after Mixture-Transfer to),Total mixer cycle time,Temp after FC (ｰC) (after Steam Out),Temp at end of mix time (ｰC),Temp at drop (ｰC),Mixture mixer agitator speed,Amps at end of mix time ,Load after FC (Amps) (after Steam Out),Mixer Water Addition,Mixer Air Flow In Average,Glycol Outlet Temp (ｰC),Roll Speed (RPM),Glycol Flow  (mｳ/h),Glycol Valve Output (%),Free fatty acid,Active,Approved,Speed (rpm)+D56,Average Head Pressure (bar),Color L,Color A,Color B,pH,Moisture
1176,A2-13,Recipe_A,2018-08-12 10:26:00,2018-08-12 13:17:00,170.37,0.29,LINE_2,488.5,37.9,2.1,1.36,324.95,,344.87,,2933.99,202.2,213.2,,123.17,18.13,5.1,70.32,102.5,231.97,186.22,202.12,,Buffer,8.53,12.65,12.37,54.03,118.57,116.26,116.18,85.0,112.94,109.84,,,,-1.84,4.56,44.23,,27.08,YES,28.84,7.49,5.46,89.7,-1040.0,4.8389999999999995,7.05
1177,A2-14,Recipe_A,2018-08-12 11:37:00,2018-08-12 14:22:00,164.9,0.44,LINE_2,492.0,37.69,2.13,1.36,330.02,,345.06,,2934.19,202.2,213.2,,124.24,26.39,4.16,67.92,97.5,229.55,178.29,195.72,,Buffer,8.47,12.77,12.37,51.98,117.22,115.59,116.75,85.0,116.98,115.32,,,,-1.16,4.56,44.24,,27.2,YES,28.22,0.0,5.36,89.2,0.84,4.757,5.11
1178,A2-15,Recipe_A,2018-08-12 12:45:00,2018-08-12 15:38:00,173.33,0.26,LINE_2,492.5,37.64,2.11,1.36,328.82,,344.99,,2933.18,202.4,217.4,,124.25,15.25,5.12,67.12,101.5,234.41,187.95,207.08,,Buffer,8.53,12.52,12.68,60.2,116.21,115.06,116.17,85.0,114.08,110.39,,,,-2.25,4.56,44.27,,26.35,YES,27.68,0.0,5.9,89.24,0.71,4.782,5.42
1179,A2-16,Recipe_A,2018-08-12 13:52:00,2018-08-12 16:41:00,169.2,0.22,LINE_2,488.5,37.96,2.1,1.36,326.77,,345.06,,2934.6,202.2,213.1,,118.4,15.97,5.14,68.53,105.0,224.49,168.68,188.59,,Buffer,8.45,13.07,12.35,50.75,119.05,116.98,117.62,85.0,115.19,112.19,,,,-3.26,4.56,44.34,,26.8,YES,28.56,0.0,4.99,89.45,0.83,4.829,5.17
1180,A2-17,Recipe_A,2018-08-12 15:00:00,2018-08-12 17:47:00,166.43,0.42,LINE_2,489.0,37.93,2.11,1.36,323.82,,345.56,,2932.27,202.2,213.7,,118.65,15.71,5.19,73.63,96.5,226.86,181.83,207.47,,Buffer,8.55,12.92,12.35,49.02,117.7,116.26,116.74,85.0,113.27,112.57,,,,-1.01,4.56,44.34,,26.68,YES,28.25,0.0,5.42,89.35,0.72,4.86,5.71
1181,A2-18,Recipe_A,2018-08-12 16:14:00,2018-08-12 18:55:00,161.4,0.34,LINE_2,488.0,37.4,2.1,1.36,329.48,,345.06,,2931.92,202.2,212.6,,123.69,15.29,5.13,87.82,94.5,226.44,169.9,187.07,,Buffer,8.5,12.98,12.95,49.25,119.0,116.65,117.34,85.0,113.29,110.14,,,,-1.79,4.56,44.3,,26.95,YES,29.0,7.5,5.46,89.0,0.7,4.8660000000000005,6.99
1182,A2-19,Recipe_A,2018-08-12 17:42:00,2018-08-12 20:02:00,140.57,0.28,LINE_2,489.0,37.5,2.11,1.36,328.12,,345.56,,2932.58,202.4,213.7,,118.43,15.6,5.2,62.83,89.0,230.32,170.73,189.36,,Buffer,8.42,12.75,12.35,49.13,118.28,115.64,115.66,85.0,111.07,110.97,,,,-1.93,4.56,44.29,,26.95,YES,29.1,7.97,5.64,89.71,0.61,4.846,4.99
1183,A2-20,Recipe_A,2018-08-12 18:45:00,2018-08-12 21:20:00,155.62,0.26,LINE_2,494.0,37.72,2.09,1.36,326.1,,345.24,,2932.83,202.2,213.0,,117.78,16.34,5.21,55.03,8.0,234.51,174.71,193.37,,Buffer,8.03,12.5,12.33,48.42,116.98,114.39,114.91,85.0,108.76,107.05,,,,-1.38,4.56,44.17,,26.2,YES,27.74,4.47,5.69,89.93,0.67,4.886,5.56
1184,A2-01,Recipe_A,2018-08-12 19:40:00,2018-08-12 22:31:00,171.25,0.31,LINE_2,491.0,37.42,2.09,1.36,327.6,,344.87,,2933.03,202.4,213.3,,122.2,15.25,5.17,90.57,257.5,225.85,172.46,191.12,,Buffer,9.22,13.0,12.35,54.02,118.86,116.98,117.08,85.0,116.73,112.6,,,,-3.41,4.56,44.23,,27.34,YES,27.38,6.9,5.72,88.85,-1010.0,4.83,7.03
1185,A2-02,Recipe_A,2018-08-12 21:10:00,2018-08-12 23:27:00,136.97,0.34,LINE_2,489.5,37.5,2.11,1.36,324.82,,345.43,,2932.12,202.4,218.9,,118.05,15.34,5.12,66.8,33.5,231.81,178.17,197.14,,Buffer,8.48,12.65,12.35,48.72,115.83,114.63,114.72,85.0,113.0,110.66,,,,-1.59,4.56,44.26,,27.19,YES,28.29,7.46,5.52,89.0,-1020.0,4.834,7.05
1186,A2-03,Recipe_A,2018-08-12 22:17:00,2018-08-13 00:28:32,131.02,0.37,LINE_2,487.5,37.88,2.09,1.36,325.4,,344.87,,2935.15,202.2,212.7,,118.34,15.94,5.12,45.23,9.5,231.04,173.47,194.44,,Buffer,8.05,12.72,13.73,51.38,117.65,115.06,115.2,85.0,111.31,110.95,,,,0.86,4.56,44.25,,27.47,YES,27.86,5.42,5.23,89.46,-1090.0,4.841,7.43
1187,A2-04,Recipe_A,2018-08-12 23:02:00,2018-08-13 01:32:02,149.28,0.53,LINE_2,487.5,37.85,2.07,1.36,328.52,,345.24,,2936.46,202.4,217.7,,119.97,17.33,5.22,80.13,98.5,232.69,181.43,207.49,,Buffer,8.17,12.62,14.4,52.52,116.07,114.72,115.55,85.0,114.29,111.86,,,,-1.0,4.56,44.22,,26.42,YES,25.98,2.49,5.72,89.87,0.69,4.835,4.8
1188,A2-05,Recipe_A,2018-08-13 00:22:53,2018-08-13 03:06:00,163.12,0.56,LINE_2,491.5,37.49,2.07,1.36,323.85,,345.24,,2932.93,202.6,213.6,,118.34,17.46,5.13,55.77,-19.5,232.33,171.62,186.08,,Buffer,8.13,12.62,12.88,64.68,117.41,114.48,115.11,85.0,110.68,109.35,,,,-2.15,4.56,44.17,,26.59,YES,27.65,0.0,5.78,90.06,0.72,4.871,5.2
1189,A2-06,Recipe_A,2018-08-13 01:18:39,2018-08-13 04:02:50,164.18,0.29,LINE_2,490.5,37.5,2.08,1.36,326.65,,345.24,,2933.64,202.4,212.9,,118.42,17.23,5.03,62.6,4.0,230.53,179.78,197.92,,Buffer,8.22,12.73,12.93,47.85,116.31,114.29,115.4,85.0,112.78,113.52,,,,-2.08,4.56,44.27,,26.09,YES,27.29,0.0,5.64,90.04,0.67,4.861000000000001,4.89
1190,A2-07,Recipe_A,2018-08-13 02:21:15,2018-08-13 04:57:27,156.2,0.35,LINE_2,491.0,38.01,2.11,1.36,325.83,,345.68,,2932.17,202.4,212.6,,119.03,17.48,5.04,85.48,57.5,228.86,180.69,199.14,,Buffer,8.0,12.83,13.02,52.17,118.57,115.88,116.87,85.0,115.03,109.98,,,,-3.24,4.56,44.32,,26.54,YES,27.34,7.39,5.61,90.84,0.65,4.863,5.76
1191,A2-08,Recipe_A,2018-08-13 03:46:44,2018-08-13 05:58:30,131.77,0.39,LINE_2,494.0,37.64,2.08,1.36,326.18,,345.18,,2933.94,202.8,209.3,,122.81,17.7,5.04,70.92,48.0,227.6,174.37,208.28,,Buffer,8.67,12.9,12.32,54.32,117.46,115.83,116.5,85.0,114.56,111.95,,,,-1.3,4.56,44.32,,26.72,YES,27.69,0.0,5.61,90.85,0.66,4.856,6.1
1192,A2-09,Recipe_A,2018-08-13 04:57:39,2018-08-13 07:09:03,131.4,0.36,LINE_2,492.0,37.93,2.08,1.36,326.77,,345.06,,2932.47,202.2,212.8,,122.44,17.47,5.03,65.23,48.5,227.86,175.94,201.27,,Buffer,8.2,12.87,12.37,48.65,118.42,115.64,116.04,85.0,113.61,110.91,,,,-1.43,4.56,44.32,,27.5,YES,28.57,0.0,5.65,89.71,0.71,4.802,6.98
1193,A2-10,Recipe_A,2018-08-13 06:02:53,2018-08-13 08:08:08,125.23,0.26,LINE_2,489.0,37.7,2.11,1.36,328.38,,345.56,,2935.71,202.2,212.7,,118.01,17.47,5.03,48.68,5.0,233.7,175.06,190.58,,Buffer,8.23,12.57,13.73,52.85,117.75,114.58,115.31,85.0,108.51,107.9,,,,-1.67,4.56,44.28,,27.79,YES,28.46,7.35,5.71,90.0,0.67,4.757,7.05
1194,A2-11,Recipe_A,2018-08-13 06:51:34,2018-08-13 09:20:43,149.15,0.25,LINE_2,492.5,37.79,2.11,1.36,327.32,,345.12,,2931.92,202.2,219.6,,120.16,18.51,5.13,85.13,19.0,231.11,182.49,200.84,,Buffer,8.57,12.68,12.97,51.23,115.73,114.53,115.51,85.0,112.79,111.87,,,,-1.66,4.56,44.2,,26.09,YES,28.44,0.0,5.66,89.77,0.7,4.857,5.48
1195,A2-12,Recipe_A,2018-08-13 08:16:42,2018-08-13 10:39:40,142.97,0.4,LINE_2,487.5,37.87,2.11,1.36,329.85,,345.18,,2935.3,202.4,212.6,,122.9,18.12,5.11,65.38,-21.5,233.41,175.37,186.54,,Buffer,8.18,12.57,12.38,51.2,117.85,114.58,114.95,85.0,112.34,110.24,,,,-2.24,4.56,44.2,,25.9,YES,28.51,0.0,5.9,90.44,0.69,4.825,5.11
1196,A2-13,Recipe_A,2018-08-13 09:22:05,2018-08-13 11:56:21,154.27,0.44,LINE_2,491.0,37.42,2.08,1.36,329.13,,345.43,,2934.5,202.2,212.8,,118.83,17.18,5.1,46.48,9.0,232.91,162.69,186.98,,Buffer,8.28,12.6,12.83,53.62,118.09,115.06,115.64,85.0,111.87,111.31,,,,-2.01,4.56,44.11,,26.23,YES,28.94,0.0,5.42,90.58,0.62,4.814,6.95
1197,A2-14,Recipe_A,2018-08-13 10:08:34,2018-08-13 12:56:43,168.15,0.55,LINE_2,487.5,37.57,2.13,1.36,325.0,,345.49,,2951.67,202.2,221.0,,118.79,16.31,5.1,91.35,14.0,195.25,180.0,212.2,,Buffer,8.23,15.17,12.7,51.88,116.36,114.63,115.81,85.0,111.42,109.03,,,,-3.13,4.56,44.14,,25.68,YES,28.81,0.0,5.48,90.68,0.71,4.878,6.26
1198,A2-15,Recipe_A,2018-08-13 11:39:55,2018-08-13 13:53:52,133.95,0.31,LINE_2,491.5,37.64,2.13,1.36,326.75,,345.12,,2931.67,202.2,217.8,,119.87,15.43,5.15,76.97,62.5,229.94,175.44,208.85,,Buffer,8.27,12.75,12.68,48.57,115.88,114.92,116.03,85.0,112.27,110.5,,,,0.66,4.56,44.11,,26.41,YES,27.97,5.43,5.6,89.45,0.81,4.823,5.86
1199,A2-16,Recipe_A,2018-08-13 12:56:53,2018-08-13 14:58:33,121.67,0.56,LINE_2,487.5,37.49,2.07,1.36,324.35,,345.06,,2932.32,202.2,213.0,,119.17,15.82,5.15,45.3,5.0,231.37,177.05,197.1,,Buffer,8.23,12.67,14.78,50.48,117.65,114.87,115.11,85.0,110.24,110.5,,,,-1.39,4.56,44.13,,26.81,YES,27.66,0.0,5.56,88.25,0.95,4.763,5.82
1200,A2-17,Recipe_A,2018-08-13 13:42:11,2018-08-13 16:00:36,138.42,0.29,LINE_2,487.5,37.7,2.09,1.36,328.7,,345.62,,2933.89,202.2,212.5,,118.2,15.7,5.21,60.0,60.5,226.84,161.56,180.73,,Buffer,8.38,12.93,12.37,50.18,118.47,115.92,116.44,85.0,111.98,109.84,,,,-3.19,4.56,44.11,,27.1,YES,28.45,0.0,5.75,88.27,0.77,4.824,6.86
1201,A2-18,Recipe_A,2018-08-13 14:43:52,2018-08-13 17:09:34,145.7,0.57,LINE_2,491.5,37.6,2.15,1.36,326.23,,344.81,,2933.64,202.2,213.3,,118.43,15.33,5.2,59.07,58.0,226.58,173.78,195.6,,Buffer,8.5,12.97,12.37,49.55,117.85,115.64,116.04,85.0,114.32,109.7,,,,0.9,4.56,44.07,,26.15,YES,29.02,7.57,5.48,89.14,0.79,4.849,5.53
1202,A2-19,Recipe_A,2018-08-13 15:42:56,2018-08-13 18:17:22,154.43,0.68,LINE_2,487.5,38.06,2.13,1.36,323.67,,345.49,,2931.62,202.4,238.9,,118.47,13.58,5.21,65.55,60.0,228.4,176.73,206.01,,Buffer,8.4,12.83,13.0,50.2,115.49,114.19,114.17,85.0,110.1,110.39,,,,0.69,4.56,44.15,,25.64,YES,28.11,7.01,5.58,88.95,0.86,4.849,5.67
1203,A2-20,Recipe_A,2018-08-13 16:48:29,2018-08-13 19:25:48,157.32,0.39,LINE_2,490.0,37.95,2.11,1.36,330.45,,345.12,,2933.38,203.2,226.7,,118.32,14.09,5.22,65.0,57.5,229.36,180.92,208.74,,Buffer,8.37,12.85,12.72,51.45,115.78,114.53,114.98,85.0,108.96,110.29,,,,0.05,4.56,44.14,,26.47,YES,28.5,0.0,5.95,88.92,0.72,4.827,5.16
1204,A2-21,Recipe_A,2018-08-13 17:53:29,2018-08-13 20:34:22,160.88,0.51,LINE_2,489.0,37.78,2.14,1.36,326.3,,345.06,,2933.23,202.6,212.6,,118.32,14.8,5.25,66.3,62.0,228.25,167.66,184.95,,Buffer,8.43,12.85,13.03,50.15,118.33,115.59,115.95,85.0,112.66,110.89,,,,-1.0,4.56,43.59,,26.42,YES,28.94,0.0,5.51,88.62,0.88,4.856,5.7
1205,A2-22,Recipe_A,2018-08-13 18:59:47,2018-08-13 21:46:03,166.27,0.33,LINE_2,491.0,37.44,2.11,1.36,327.63,,345.56,,2934.19,202.4,213.0,,118.47,14.45,5.22,70.5,51.0,232.25,164.47,183.05,,Buffer,8.45,12.7,13.17,49.0,117.99,115.2,116.01,85.0,110.47,107.93,,,,-1.51,4.56,44.2,,26.58,YES,28.82,7.53,5.79,89.17,0.8,4.835,5.36
1206,A2-01,Recipe_A,2018-08-13 20:17:33,2018-08-13 22:48:09,150.6,0.68,LINE_2,488.5,37.84,2.05,1.36,330.22,,344.93,,2932.22,202.2,213.3,,118.32,14.98,5.18,70.98,53.0,232.88,177.82,205.57,,Buffer,8.43,12.58,12.37,47.83,116.36,114.87,116.03,85.0,114.76,113.98,,,,-1.43,4.56,44.26,,26.6,YES,28.74,6.14,5.76,89.2,0.8,4.837,5.44
1207,A2-02,Recipe_A,2018-08-13 21:28:32,2018-08-13 23:47:22,138.83,0.25,LINE_2,490.0,38.0,2.09,1.36,327.5,,345.31,,2933.54,202.2,213.4,,118.32,16.44,5.2,68.05,58.0,234.16,178.92,191.06,,Buffer,8.3,12.53,12.18,47.9,117.27,114.48,114.71,85.0,109.87,107.91,,,,0.33,4.56,44.27,,26.03,YES,27.23,6.08,5.99,89.02,0.71,4.853,6.93
1208,A2-03,Recipe_A,2018-08-13 22:36:35,2018-08-14 01:10:32,153.95,0.32,LINE_2,490.0,37.9,2.11,1.36,325.0,,345.56,,2932.88,202.4,213.3,,118.06,15.33,5.2,49.12,7.0,231.9,173.39,189.31,,Buffer,8.25,12.63,12.33,55.27,117.51,114.82,115.39,85.0,113.23,109.58,,,,-3.09,4.56,44.12,,26.46,YES,26.81,7.59,5.51,89.34,-1030.0,4.863,6.9
1209,A2-04,Recipe_A,2018-08-13 23:25:43,2018-08-14 02:48:53,203.17,0.67,LINE_2,488.5,37.4,2.04,1.36,327.02,,344.87,,2933.28,202.4,213.7,,118.26,14.61,5.19,69.72,-23.0,230.6,167.42,200.03,,Buffer,8.33,12.75,12.35,86.88,118.04,115.3,116.94,85.0,111.33,108.31,,,,-2.72,4.56,43.38,,26.22,YES,27.16,5.12,5.43,89.25,-1020.0,4.874,6.94
1210,A2-05,Recipe_A,2018-08-14 00:35:26,2018-08-14 03:49:38,194.2,0.55,LINE_2,492.0,37.81,2.09,1.36,321.72,,344.99,,2933.74,202.2,213.0,,118.53,15.27,5.1,68.25,56.5,226.57,170.8,187.64,,Buffer,8.48,12.97,12.38,60.38,118.71,116.31,116.84,85.0,115.85,111.79,,,,0.17,4.56,43.43,,26.52,YES,28.13,5.43,5.61,88.17,-1100.0,4.85,6.97
1211,A2-06,Recipe_A,2018-08-14 01:43:41,2018-08-14 04:57:50,194.15,0.48,LINE_2,492.0,37.62,2.07,1.36,325.68,,345.12,,2931.92,202.2,212.6,,118.16,25.5,4.24,87.37,55.5,228.89,167.07,184.87,,Buffer,8.45,12.82,12.32,66.67,118.09,115.44,116.37,85.0,112.76,111.02,,,,0.03,4.56,43.4,,26.88,YES,28.65,7.5,5.12,89.28,-1100.0,4.857,5.17
1212,A2-07,Recipe_A,2018-08-14 03:11:03,2018-08-14 05:55:36,164.55,0.57,LINE_2,492.0,37.37,2.1,1.36,333.3,,344.87,,2935.96,202.8,237.0,,118.66,15.99,5.11,62.33,60.5,229.66,179.14,204.2,,Buffer,8.52,12.78,12.92,54.68,115.68,114.15,114.11,85.0,112.11,111.5,,,,0.89,4.56,43.45,,26.64,YES,28.31,7.49,5.12,89.28,-1110.0,4.864,4.9
1213,A2-08,Recipe_A,2018-08-14 04:13:23,2018-08-14 07:14:15,180.85,0.68,LINE_2,487.5,37.86,2.15,1.36,326.2,,344.87,,2934.7,202.4,221.6,,123.19,15.78,5.1,69.07,51.5,232.99,184.31,203.5,,Buffer,8.35,12.58,13.27,59.87,115.59,113.95,113.45,85.0,109.36,108.92,,,,-1.26,4.56,41.94,,25.6,YES,25.67,5.87,5.93,89.51,0.65,4.855,5.47
1214,A2-09,Recipe_A,2018-08-14 05:22:27,2018-08-14 10:24:55,302.47,0.29,LINE_2,488.5,37.89,2.09,1.36,325.38,,344.81,,2933.99,202.2,213.7,,120.81,16.26,5.11,73.33,52.5,228.66,181.78,207.54,,Buffer,8.77,12.87,12.35,54.35,116.98,115.01,115.46,85.0,111.0,109.9,,,,-2.65,4.56,41.94,,26.03,YES,27.41,6.16,5.5,88.08,-1050.0,4.865,5.26
1215,A2-10,Recipe_A,2018-08-14 06:35:47,2018-08-14 15:00:23,504.6,0.26,LINE_2,490.0,37.4,2.1,1.36,328.92,,344.93,,2934.95,203.0,218.3,,119.02,16.02,5.14,195.87,53.5,225.48,183.69,204.97,,Buffer,8.57,13.03,12.35,49.67,116.98,115.88,116.88,85.0,115.19,115.88,,,,-1.86,4.56,43.79,,26.23,YES,19.66,4.23,5.55,91.04,0.75,4.82,5.55
1216,A2-11,Recipe_A,2018-08-14 14:17:37,2018-08-14 16:35:04,137.45,0.42,LINE_2,491.0,37.88,2.09,1.36,331.4,,344.81,,2933.59,202.4,213.2,,119.39,13.76,5.19,55.15,51.5,227.86,174.95,202.98,,Buffer,8.62,12.88,12.35,47.42,118.66,116.93,118.04,85.0,116.17,112.52,,,,-2.55,4.56,43.83,,26.22,YES,26.43,4.63,5.76,89.26,0.68,4.784,5.67
1217,A2-12,Recipe_A,2018-08-14 15:15:01,2018-08-14 17:50:57,155.93,0.43,LINE_2,488.0,37.4,2.11,1.36,329.18,,345.24,,2930.91,202.2,213.0,,119.2,13.2,5.18,56.33,52.0,228.09,159.0,183.23,,Buffer,8.52,12.87,14.98,51.02,118.66,116.21,116.87,85.0,112.75,111.63,,,,-2.06,4.56,43.81,,26.13,YES,26.36,7.21,5.33,88.8,0.75,4.91,5.25
1218,A2-13,Recipe_A,2018-08-14 16:18:39,2018-08-14 19:02:51,164.2,0.45,LINE_2,489.5,37.7,2.06,1.36,325.45,,345.06,,2936.57,202.2,212.6,,118.62,15.11,5.32,64.57,49.5,235.98,161.94,184.03,,Buffer,8.52,12.45,12.65,50.72,118.28,115.16,115.7,85.0,113.18,109.34,,,,-1.53,4.56,43.88,,26.19,YES,26.89,6.15,5.61,89.41,0.77,4.882,6.28
1219,A2-14,Recipe_A,2018-08-14 17:41:41,2018-08-14 20:46:33,184.87,0.19,LINE_2,490.0,37.45,2.1,1.36,327.23,,345.12,,2936.01,202.4,216.7,,119.6,13.45,5.24,57.08,52.5,229.0,177.72,196.81,,Buffer,8.75,12.82,12.33,57.6,117.32,115.11,116.48,85.0,113.06,112.12,,,,-1.69,4.56,43.74,,25.81,YES,29.13,6.63,5.48,88.67,0.82,4.835,4.91
1220,A2-15,Recipe_A,2018-08-14 18:38:46,2018-08-14 21:49:56,191.17,0.48,LINE_2,489.0,37.73,2.12,1.36,331.3,,345.49,,2934.29,202.2,213.2,,119.41,13.14,5.2,92.8,53.5,234.43,166.24,193.38,,Buffer,8.53,12.52,12.35,47.73,117.13,115.4,115.72,85.0,110.89,112.55,,,,0.1,4.56,43.72,,26.21,YES,29.42,7.41,5.28,88.62,0.61,4.875,5.6
1221,A2-01,Recipe_A,2018-08-14 20:11:34,2018-08-14 23:04:18,172.73,0.5,LINE_2,491.0,37.99,2.12,1.36,330.7,,345.62,,2933.99,202.2,213.0,,119.61,14.68,5.24,72.35,53.5,227.96,150.73,165.6,,Buffer,8.42,12.85,12.47,66.33,118.52,116.31,116.92,85.0,113.77,111.73,,,,0.83,4.56,43.9,,26.63,YES,28.0,6.33,5.09,88.75,-1140.0,4.921,6.99
1222,A2-02,Recipe_A,2018-08-14 21:31:10,2018-08-14 23:58:50,147.67,0.32,LINE_2,487.5,37.67,2.09,1.36,325.08,,344.93,,2935.66,202.2,212.9,,118.84,14.96,5.22,51.43,49.0,235.69,168.62,187.31,,Buffer,8.35,12.45,13.3,54.5,117.32,115.25,115.04,85.0,111.03,108.67,,,,1.11,4.56,43.95,,25.39,YES,29.75,0.0,6.19,88.47,-1010.0,4.812,6.91
1223,A2-03,Recipe_A,2018-08-14 22:22:36,2018-08-15 01:42:00,199.4,0.26,LINE_2,490.0,37.58,2.11,1.36,329.38,,345.06,,2934.75,202.2,213.3,,119.16,15.27,5.23,78.02,58.5,229.55,175.8,198.44,,Buffer,8.63,12.77,14.43,61.13,117.7,115.64,116.79,85.0,115.82,114.82,,,,-1.74,4.56,43.88,,26.5,YES,29.36,7.38,5.71,88.24,-1090.0,4.805,7.0
1224,A2-04,Recipe_A,2018-08-14 23:40:37,2018-08-15 02:31:33,170.93,0.7,LINE_2,493.5,37.89,2.08,1.36,333.45,,344.81,,2935.15,202.2,213.1,,119.66,16.15,5.25,90.03,61.5,235.5,161.31,183.46,,Buffer,8.53,12.47,12.35,47.13,117.65,114.96,115.46,85.0,109.17,108.94,,,,0.43,4.56,43.97,,27.11,YES,29.73,7.19,5.56,88.4,0.67,4.731,5.62
1225,A2-05,Recipe_A,2018-08-15 01:10:39,2018-08-15 04:11:41,181.03,0.6,LINE_2,486.0,37.71,2.06,1.36,325.68,,345.18,,2932.78,202.8,218.0,,118.47,15.08,5.2,70.22,55.5,168.32,182.86,215.31,,Buffer,8.52,17.4,29.45,73.8,116.79,114.96,114.61,85.0,117.89,115.27,,,,-1.64,4.56,43.92,,26.89,YES,28.18,7.35,5.65,88.42,0.65,4.726,5.9
1226,A2-06,Recipe_A,2018-08-15 02:20:52,2018-08-15 05:22:09,181.28,0.26,LINE_2,491.0,37.55,2.11,1.36,328.57,,344.93,,2934.44,202.2,213.1,,124.85,14.7,5.18,65.38,52.0,233.17,171.6,193.74,,Buffer,8.57,12.63,12.97,56.83,117.65,115.49,115.86,85.0,110.74,110.9,,,,-1.18,4.56,43.61,,26.47,YES,28.94,7.4,5.44,89.14,0.78,4.87,6.95
1227,A2-07,Recipe_A,2018-08-15 03:26:15,2018-08-15 06:36:06,189.85,0.44,LINE_2,492.0,37.78,2.12,1.36,324.23,,345.06,,2935.4,202.4,213.9,,119.37,15.5,5.13,81.17,50.5,228.54,170.4,195.8,,Buffer,8.53,12.85,13.17,51.43,118.33,116.21,116.4,85.0,113.55,112.96,,,,-3.15,4.56,43.7,,26.34,YES,28.51,6.06,5.42,89.45,0.98,4.908,5.68
1228,A2-08,Recipe_A,2018-08-15 04:47:25,2018-08-15 07:41:39,174.23,0.59,LINE_2,490.0,37.56,2.15,1.36,329.77,,344.81,,2932.47,202.2,213.3,,120.56,16.11,5.23,80.35,55.5,237.8,166.39,180.83,,Buffer,8.57,12.38,13.98,49.63,118.14,115.01,115.16,85.0,111.28,110.99,,,,0.83,4.56,43.71,,26.91,YES,29.01,0.0,5.32,89.9,0.99,4.898,6.96
1229,A2-09,Recipe_A,2018-08-15 06:07:46,2018-08-15 08:43:48,156.03,0.45,LINE_2,489.0,37.88,2.1,1.36,333.03,,344.93,,2932.68,202.6,213.2,,124.1,15.47,5.1,67.0,51.0,230.99,170.63,186.48,,Buffer,8.52,12.77,12.37,47.95,118.14,115.68,116.7,85.0,113.76,111.44,,,,0.14,4.56,43.66,,26.86,YES,28.95,7.0,5.3,89.98,0.99,4.9,6.96
1230,A2-10,Recipe_A,2018-08-15 07:18:34,2018-08-15 09:55:03,156.48,0.72,LINE_2,489.5,37.51,2.17,1.36,326.07,,344.99,,2932.32,202.2,218.5,,123.59,15.5,5.1,64.12,55.5,233.03,182.19,206.77,,Buffer,8.5,12.63,12.32,51.55,117.41,115.11,116.05,85.0,110.93,108.4,,,,0.78,4.56,43.46,,26.46,YES,28.42,7.02,5.24,88.12,-1060.0,4.9110000000000005,5.32
1231,A2-11,Recipe_A,2018-08-15 08:22:42,2018-08-15 11:08:00,165.3,0.35,LINE_2,491.0,37.65,2.08,1.36,324.68,,345.12,,2932.27,202.2,216.8,,124.83,15.44,5.18,74.88,61.5,225.96,168.95,198.11,,Buffer,8.35,12.98,13.1,51.15,116.65,115.64,115.45,85.0,114.96,113.5,,,,0.47,4.56,43.65,,27.6,YES,28.92,0.0,5.93,89.6,-1020.0,4.893,6.86
1232,A2-12,Recipe_A,2018-08-15 10:00:19,2018-08-15 12:52:03,171.73,0.79,LINE_2,489.5,37.52,2.16,1.36,330.58,,345.12,,2933.69,202.2,213.2,,124.85,14.2,5.15,78.05,59.5,231.17,162.65,191.58,,Buffer,8.57,12.68,12.87,49.92,118.04,115.97,116.51,85.0,111.22,110.14,,,,-2.08,4.56,41.95,,27.76,YES,29.09,0.0,5.31,89.32,-1070.0,4.888,7.04
1233,A2-13,Recipe_A,2018-08-15 11:18:22,2018-08-15 14:01:22,163.0,0.41,LINE_2,489.0,37.76,2.12,1.36,330.77,,345.12,,2931.31,202.2,218.5,,119.7,14.33,5.13,87.42,63.0,233.1,175.18,201.95,,Buffer,8.4,12.57,13.48,49.07,115.64,114.43,115.66,85.0,113.49,112.02,,,,-1.31,4.56,44.07,,24.79,YES,28.99,5.54,5.69,88.77,-1120.0,4.89,5.35
1234,A2-14,Recipe_A,2018-08-15 12:45:47,2018-08-15 15:12:40,146.88,0.42,LINE_2,489.0,37.78,2.07,1.36,328.37,,344.81,,2931.92,202.2,213.2,,121.1,14.85,5.22,74.4,54.5,236.28,163.97,189.28,,Buffer,8.48,12.4,13.03,47.75,117.99,115.16,114.89,85.0,111.23,110.75,,,,0.56,4.56,44.09,,25.75,YES,27.73,6.0,5.93,89.56,0.62,4.878,4.53
